IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
206293,HBase,mixed,510.144,8040,HIGH,HBASE
294821,Derby,mixed,136.5704,32032,VHIGH,DERBY
534817,JRuby (please use github issues at http://bugs.jruby.org),mixed,24786.1068,88569,VHIGH,JRUBY
534818,JRuby (please use github issues at http://bugs.jruby.org),polite,31825.001,46258,VHIGH,JRUBY
534810,JRuby (please use github issues at http://bugs.jruby.org),polite,598.5923,74274,VHIGH,JRUBY
294829,Derby,mixed,1232.3469,32032,VHIGH,DERBY
534813,JRuby (please use github issues at http://bugs.jruby.org),impolite,2795.6393,87535,VHIGH,JRUBY
534815,JRuby (please use github issues at http://bugs.jruby.org),polite,31201.2458,46258,VHIGH,JRUBY
294828,Derby,mixed,1403.7124,3332,HIGH,DERBY
534816,JRuby (please use github issues at http://bugs.jruby.org),polite,128.154,46258,VHIGH,JRUBY
294836,Derby,mixed,6868.8104,32000,VHIGH,DERBY
294837,Derby,polite,202.8843,51543,HIGH,DERBY
294834,Derby,polite,17556.045,40085,HIGH,DERBY
294835,Derby,impolite,2016.0297,51834,HIGH,DERBY
294830,Derby,mixed,155.6203,33671,VHIGH,DERBY
534823,JRuby (please use github issues at http://bugs.jruby.org),polite,153.3123,0,null,JRUBY
294838,Derby,mixed,1381.5285,51553,HIGH,DERBY
294839,Derby,impolite,44.0397,51740,HIGH,DERBY
294848,Derby,mixed,794.513,51791,HIGH,DERBY
4077,Hibernate ORM,mixed,599.9427,100,VHIGH,HHH
294843,Derby,polite,161.9387,51547,HIGH,DERBY
294844,Derby,mixed,49.1635,32000,VHIGH,DERBY
294841,Derby,mixed,15427.9092,0,null,DERBY
294842,Derby,mixed,1362.2001,51834,HIGH,DERBY
294840,Derby,polite,4623.8644,40085,HIGH,DERBY
4072,Hibernate ORM,polite,1327.7703,100,VHIGH,HHH
4084,Hibernate ORM,impolite,385.8003,0,null,HHH
294859,Derby,mixed,7796.0107,51542,HIGH,DERBY
294856,Derby,mixed,3247.1509,51882,HIGH,DERBY
294857,Derby,mixed,341.3018,51834,HIGH,DERBY
294854,Derby,mixed,2615.7466,51772,HIGH,DERBY
4089,Hibernate ORM,polite,17.162,807,VHIGH,HHH
294852,Derby,mixed,20462.3464,33671,VHIGH,DERBY
4080,Hibernate ORM,impolite,2812.85,57,VHIGH,HHH
534807,JRuby (please use github issues at http://bugs.jruby.org),impolite,31749.2334,46258,VHIGH,JRUBY
534809,JRuby (please use github issues at http://bugs.jruby.org),polite,595.4079,74274,VHIGH,JRUBY
534801,JRuby (please use github issues at http://bugs.jruby.org),polite,17701.0345,46258,VHIGH,JRUBY
534802,JRuby (please use github issues at http://bugs.jruby.org),impolite,25431.3041,46258,VHIGH,JRUBY
534803,JRuby (please use github issues at http://bugs.jruby.org),impolite,25454.3491,46258,VHIGH,JRUBY
534804,JRuby (please use github issues at http://bugs.jruby.org),impolite,25454.3874,46258,VHIGH,JRUBY
4096,Hibernate ORM,polite,7175.2294,0,null,HHH
4098,Hibernate ORM,polite,1664.3384,0,null,HHH
4099,Hibernate ORM,mixed,1022.8748,120,VHIGH,HHH
558828,groovy,impolite,4918.5598,3258,VHIGH,GROOVY
558826,groovy,mixed,2274.6794,74926,VHIGH,GROOVY
558827,groovy,mixed,2303.522,3258,VHIGH,GROOVY
558824,groovy,mixed,269.0542,74926,VHIGH,GROOVY
558825,groovy,polite,2253.8577,3258,VHIGH,GROOVY
558821,groovy,mixed,18605.5711,74926,VHIGH,GROOVY
558817,groovy,polite,27158.3364,74926,VHIGH,GROOVY
558813,groovy,polite,7135.9137,3258,VHIGH,GROOVY
558814,groovy,impolite,11551.4234,3258,VHIGH,GROOVY
558811,groovy,impolite,8.7892,0,null,GROOVY
558819,groovy,mixed,39841.0391,3258,VHIGH,GROOVY
294802,Derby,mixed,1147.4063,32032,VHIGH,DERBY
294800,Derby,polite,18458.2028,40085,HIGH,DERBY
558804,groovy,mixed,12754.9141,3258,VHIGH,GROOVY
558802,groovy,polite,23505.7481,118,VHIGH,GROOVY
558803,groovy,polite,18167.3781,74926,VHIGH,GROOVY
558800,groovy,mixed,1922.5633,3258,VHIGH,GROOVY
534831,JRuby (please use github issues at http://bugs.jruby.org),impolite,7386.8608,87535,VHIGH,JRUBY
294807,Derby,impolite,0.9233,0,null,DERBY
534836,JRuby (please use github issues at http://bugs.jruby.org),polite,2257.5774,46258,VHIGH,JRUBY
294805,Derby,mixed,2226.0739,51806,HIGH,DERBY
294806,Derby,mixed,350.7682,51805,HIGH,DERBY
294815,Derby,polite,248.2766,51547,HIGH,DERBY
294812,Derby,polite,891.7619,37748,VHIGH,DERBY
294813,Derby,mixed,2163.4324,199,HIGH,DERBY
534843,JRuby (please use github issues at http://bugs.jruby.org),polite,4186.9534,74274,VHIGH,JRUBY
534844,JRuby (please use github issues at http://bugs.jruby.org),polite,2338.6791,46258,VHIGH,JRUBY
294818,Derby,polite,65.0813,51871,HIGH,DERBY
534847,JRuby (please use github issues at http://bugs.jruby.org),polite,2903.0846,46258,VHIGH,JRUBY
294816,Derby,mixed,1557.183,32032,VHIGH,DERBY
294817,Derby,polite,374.402,51871,HIGH,DERBY
