IssueID,ProjectName,Politeness,FixingTime_(hours)
574757,JBoss Enterprise Application Platform 4 and 5,impolite,106.4142
574759,JBoss Enterprise Application Platform 4 and 5,mixed,4977.9811
36392,Wicket,impolite,441.4669
236696,Geronimo,impolite,168.3242
36396,Wicket,impolite,355.9587
236697,Geronimo,polite,2524.2411
559194,groovy,impolite,814.845
222047,Hadoop Common,polite,3.6107
559199,groovy,impolite,1.5935
574770,JBoss Enterprise Application Platform 4 and 5,impolite,1410.3997
574771,JBoss Enterprise Application Platform 4 and 5,polite,18694.66
574761,JBoss Enterprise Application Platform 4 and 5,impolite,0.7553
574762,JBoss Enterprise Application Platform 4 and 5,impolite,333.5478
574763,JBoss Enterprise Application Platform 4 and 5,impolite,3.0067
222050,Hadoop Common,mixed,101.6351
574765,JBoss Enterprise Application Platform 4 and 5,mixed,14252.5258
574766,JBoss Enterprise Application Platform 4 and 5,mixed,9496.8722
574767,JBoss Enterprise Application Platform 4 and 5,polite,228.3772
222054,Hadoop Common,mixed,289.0273
574768,JBoss Enterprise Application Platform 4 and 5,impolite,0.0444
36399,Wicket,polite,0.4512
236689,Geronimo,mixed,2198.005
559190,groovy,mixed,20274.2199
3725,Hibernate ORM,mixed,194.8115
36380,Wicket,polite,415.5209
559186,groovy,polite,2.5179
36381,Wicket,impolite,0.1799
559187,groovy,impolite,19.7671
36382,Wicket,polite,343.5319
559184,groovy,mixed,352.4844
559183,groovy,mixed,24215.0241
36387,Wicket,mixed,374.153
559181,groovy,impolite,713.8031
574780,JBoss Enterprise Application Platform 4 and 5,impolite,18764.0628
559188,groovy,polite,9101.0895
574782,JBoss Enterprise Application Platform 4 and 5,mixed,3811.7308
574772,JBoss Enterprise Application Platform 4 and 5,mixed,11525.6383
3738,Hibernate ORM,polite,3731.58
574774,JBoss Enterprise Application Platform 4 and 5,polite,309.39
222086,Hadoop Common,polite,346.9656
574778,JBoss Enterprise Application Platform 4 and 5,impolite,5384.0283
222087,Hadoop Common,impolite,112.7009
574779,JBoss Enterprise Application Platform 4 and 5,impolite,4169.7294
3733,Hibernate ORM,polite,110.2018
559176,groovy,polite,17336.5413
559174,groovy,impolite,203.0671
559172,groovy,polite,133.2597
3750,Hibernate ORM,impolite,12.5309
36376,Wicket,mixed,870.0881
559170,groovy,polite,122.6285
222069,Hadoop Common,impolite,1.9725
559179,groovy,impolite,4824.0965
574790,JBoss Enterprise Application Platform 4 and 5,polite,18691.1408
559177,groovy,polite,0.2171
559178,groovy,polite,463.3167
3749,Hibernate ORM,mixed,122.8334
222074,Hadoop Common,polite,139.7805
222071,Hadoop Common,polite,143.2818
222077,Hadoop Common,polite,25.8845
36378,Wicket,mixed,1094.314
3742,Hibernate ORM,mixed,2468.9636
3746,Hibernate ORM,impolite,115.1872
560151,groovy,mixed,1432.4218
3747,Hibernate ORM,impolite,86.3176
560152,groovy,mixed,531.2672
3756,Hibernate ORM,mixed,1410.5958
535000,JRuby (please use github issues at http://bugs.jruby.org),polite,30.8166
535001,JRuby (please use github issues at http://bugs.jruby.org),mixed,17702.0589
535002,JRuby (please use github issues at http://bugs.jruby.org),polite,26764.5875
295008,Derby,polite,312.1403
535003,JRuby (please use github issues at http://bugs.jruby.org),mixed,1.7223
295009,Derby,polite,3381.6165
535004,JRuby (please use github issues at http://bugs.jruby.org),impolite,0.699
295006,Derby,impolite,3.5549
535005,JRuby (please use github issues at http://bugs.jruby.org),polite,4404.9114
295007,Derby,polite,6697.5471
295004,Derby,impolite,508.3201
295005,Derby,polite,1152.9497
295002,Derby,polite,189.1266
295001,Derby,impolite,3651.3494
222095,Hadoop Common,polite,1536.7284
222094,Hadoop Common,polite,1510.2269
574601,JBoss Enterprise Application Platform 4 and 5,mixed,1157.2661
574602,JBoss Enterprise Application Platform 4 and 5,impolite,205.88
574605,JBoss Enterprise Application Platform 4 and 5,polite,241.2067
222092,Hadoop Common,polite,1.7005
3768,Hibernate ORM,polite,1.9321
222090,Hadoop Common,mixed,4.058
3781,Hibernate ORM,polite,92.4107
3783,Hibernate ORM,polite,8.8097
295018,Derby,mixed,19.7871
295015,Derby,polite,1.1005
295016,Derby,polite,13473.92
295011,Derby,impolite,120.2283
574610,JBoss Enterprise Application Platform 4 and 5,polite,3209.5325
574611,JBoss Enterprise Application Platform 4 and 5,impolite,1355.7472
3773,Hibernate ORM,polite,1974.1892
574615,JBoss Enterprise Application Platform 4 and 5,impolite,2256.3992
574617,JBoss Enterprise Application Platform 4 and 5,impolite,461.4028
3778,Hibernate ORM,impolite,0.162
3790,Hibernate ORM,polite,2980.078
3792,Hibernate ORM,polite,1466.4419
3793,Hibernate ORM,impolite,97.8794
295029,Derby,mixed,1858.0705
295026,Derby,mixed,894.3843
295027,Derby,impolite,147.7645
295024,Derby,polite,10589.1775
295021,Derby,mixed,244.5144
295030,Derby,mixed,1011.455
574622,JBoss Enterprise Application Platform 4 and 5,mixed,127.895
3784,Hibernate ORM,impolite,0.0598
3787,Hibernate ORM,polite,10.7838
3788,Hibernate ORM,impolite,0.2066
535032,JRuby (please use github issues at http://bugs.jruby.org),polite,32724.5651
535033,JRuby (please use github issues at http://bugs.jruby.org),mixed,9464.2597
559000,groovy,polite,23345.647
535035,JRuby (please use github issues at http://bugs.jruby.org),polite,3590.7446
559008,groovy,polite,5236.9317
559006,groovy,impolite,16988.5635
559004,groovy,mixed,3991.5248
3795,Hibernate ORM,polite,87.5718
3796,Hibernate ORM,mixed,4.8253
3799,Hibernate ORM,polite,34.7164
535043,JRuby (please use github issues at http://bugs.jruby.org),mixed,767.7719
535044,JRuby (please use github issues at http://bugs.jruby.org),polite,848.0834
535047,JRuby (please use github issues at http://bugs.jruby.org),polite,3041.1354
535049,JRuby (please use github issues at http://bugs.jruby.org),mixed,15721.757
535040,JRuby (please use github issues at http://bugs.jruby.org),polite,8960.688
535010,JRuby (please use github issues at http://bugs.jruby.org),polite,6161.6948
535011,JRuby (please use github issues at http://bugs.jruby.org),mixed,5231.2544
535015,JRuby (please use github issues at http://bugs.jruby.org),impolite,11.0202
535017,JRuby (please use github issues at http://bugs.jruby.org),polite,25480.8946
535007,JRuby (please use github issues at http://bugs.jruby.org),polite,2794.9087
535021,JRuby (please use github issues at http://bugs.jruby.org),impolite,8020.3116
535022,JRuby (please use github issues at http://bugs.jruby.org),polite,311.6924
535026,JRuby (please use github issues at http://bugs.jruby.org),polite,5479.1533
535027,JRuby (please use github issues at http://bugs.jruby.org),polite,19.3884
535028,JRuby (please use github issues at http://bugs.jruby.org),polite,7834.4709
535020,JRuby (please use github issues at http://bugs.jruby.org),polite,264.4526
535019,JRuby (please use github issues at http://bugs.jruby.org),polite,17000.1095
128630,OFBiz,mixed,260.186
128632,OFBiz,polite,169.2798
128633,OFBiz,polite,41.8855
295077,Derby,impolite,3254.647
295076,Derby,impolite,5612.9938
36529,Wicket,polite,267.5742
295082,Derby,mixed,5018.0498
295083,Derby,impolite,20.1381
295080,Derby,polite,50230.4669
128623,OFBiz,polite,47.9739
36522,Wicket,mixed,1208.2129
36524,Wicket,mixed,15845.7395
128627,OFBiz,impolite,191.1604
36525,Wicket,impolite,18.7019
128628,OFBiz,polite,20.713
36526,Wicket,polite,400.5796
128620,OFBiz,impolite,22517.8783
295088,Derby,impolite,1237.7751
295089,Derby,polite,8381.357
295087,Derby,mixed,1249.4826
295095,Derby,polite,274.7206
295096,Derby,mixed,124.0652
295091,Derby,mixed,9074.5605
295092,Derby,polite,3027.4317
295090,Derby,polite,4851.3921
128613,OFBiz,mixed,2.467
128614,OFBiz,polite,2987.3106
128615,OFBiz,mixed,794.4278
36515,Wicket,polite,100.1346
128619,OFBiz,polite,23335.3187
128610,OFBiz,mixed,741.6639
153612,Lucene - Core,mixed,35.4481
153614,Lucene - Core,impolite,1.8481
295099,Derby,polite,22.0129
153617,Lucene - Core,mixed,780.1626
153618,Lucene - Core,polite,30.1558
295097,Derby,polite,265.3645
153619,Lucene - Core,polite,33.536
295098,Derby,polite,763.5488
128609,OFBiz,mixed,4501.7904
36507,Wicket,mixed,1.4084
36503,Wicket,polite,231.7
128606,OFBiz,polite,0.8858
36504,Wicket,polite,298.0777
36505,Wicket,mixed,4.8472
128608,OFBiz,impolite,46.6649
128600,OFBiz,polite,120.9132
153600,Lucene - Core,mixed,11.0812
153602,Lucene - Core,polite,6.446
153603,Lucene - Core,polite,0.177
153605,Lucene - Core,polite,1179.8174
128670,OFBiz,impolite,6.9857
128673,OFBiz,impolite,419.2249
128676,OFBiz,polite,69.3157
114027,Pig,mixed,237.4473
295038,Derby,polite,3862.6842
114028,Pig,mixed,20490.61
295035,Derby,polite,44806.3416
295036,Derby,mixed,3512.3374
295033,Derby,mixed,1139.3728
295034,Derby,mixed,140.5726
295031,Derby,impolite,867.1466
295032,Derby,polite,74.1579
114030,Pig,mixed,2469.3553
295041,Derby,impolite,15020.5659
114031,Pig,polite,2189.4689
114032,Pig,mixed,2157.0864
114034,Pig,polite,156.918
114035,Pig,mixed,2033.023
128667,OFBiz,impolite,322.6312
128662,OFBiz,mixed,170.9927
128663,OFBiz,impolite,4506.8467
128664,OFBiz,mixed,17.9671
128665,OFBiz,mixed,71.9841
295049,Derby,mixed,1391.636
114017,Pig,polite,8711.1271
114018,Pig,mixed,720.2216
114019,Pig,polite,3358.9002
295044,Derby,impolite,7.2316
295045,Derby,mixed,45600.3159
295042,Derby,impolite,15020.6345
295043,Derby,polite,205.212
295052,Derby,polite,188.5176
114020,Pig,polite,138.3564
295050,Derby,mixed,40207.3808
114022,Pig,mixed,821.4893
114023,Pig,mixed,13532.5574
114024,Pig,polite,1177.5142
114025,Pig,polite,479.7782
128657,OFBiz,mixed,11972.791
128659,OFBiz,impolite,297.2954
128650,OFBiz,polite,317.5482
128651,OFBiz,impolite,1.0421
128655,OFBiz,polite,1.6939
114004,Pig,mixed,8641.2342
